,0,1
Albury,-36.07330197882847,146.91606502590943
BadgerysCreek,-33.87937752852425,150.74517478576468
Cobar,-31.473725420065968,145.79426957181818
CoffsHarbour,-30.282291051013377,153.1200486248014
Moree,-29.462060452535873,149.8485568356889
Newcastle,-32.92242211608378,151.78239037786722
NorahHead,-33.28848537849165,151.56636661356293
NorfolkIsland,-29.038774455696238,167.95384919060484
Penrith,-33.744699615872406,150.69433893513147
Richmond,-37.816638211679944,145.0011414843747
Sydney,-33.84469472429514,151.07468577388005
SydneyAirport,-33.949900882976614,151.18198750012593
WaggaWagga,-35.11126713043006,147.35836367744025
Williamtown,-32.80513925850641,151.84577429893213
Wollongong,-34.42818060593263,150.89443168358287
Canberra,-35.28168969572334,149.12881308531453
Tuggeranong,-35.44647055709607,149.10030206298518
MountGinini,-35.52833496977849,148.77296513983825
Ballarat,-37.55926700869753,143.8541124592926
Bendigo,-36.75776018317635,144.27920770878367
Sale,-38.09959806650229,147.07171185138787
MelbourneAirport,-37.67074838828771,144.84334287138336
Melbourne,-37.81083854366497,144.98162154859926
Mildura,-34.205894273030566,142.1287959607006
Nhil,-36.29054490020715,141.59223822863981
Portland,-38.36325286814086,141.60505636281485
Watsonia,-37.71083347774007,145.08453216380303
Dartmoor,-37.911909775474335,141.28315765523496
Brisbane,-27.47122487845694,153.05899105610638
Cairns,-16.8890204295104,145.73204213641034
GoldCoast,-27.99517409525274,153.39130385054705
Townsville,-19.259186153683892,146.81637890110923
Adelaide,-34.90927514245216,138.60014631618958
MountGambier,-37.82548791071839,140.77858268893212
Nuriootpa,-34.463615523642254,138.9803505855259
Woomera,-31.16567092706519,136.81758143061862
Albany,-35.02410814207632,117.88403503216381
Witchcliffe,-34.0229288187792,115.10263920992328
PearceRAAF,-31.667446810202634,116.02919998287776
PerthAirport,-31.938411011206085,115.967206282884
Perth,-31.94657955229674,115.85576371962043
SalmonGums,-32.891205587005565,121.68456570289764
Walpole,-34.967044882952344,116.75246088027117
Hobart,-42.88114389350779,147.32641048982867
Launceston,-41.43872250849947,147.13968095072102
AliceSprings,-23.698567278008273,133.88103114157718
Darwin,-12.45469711675507,130.8474690948744
Katherine,-14.45389898427184,132.2708113445012
Uluru,-25.343251558811403,131.0361157614854
